"","logFC","logCPM","PValue","FDR"
"YHR215W",-4.73428622074153,7.50380337730689,0,0
"YML123C",-4.66857280526162,9.00602692463257,0,0
"YGR234W",-3.96281471553427,7.89747066985375,0,0
"YER011W",-3.91598979805517,6.90810723868924,0,0
"YER081W",3.35154680722715,9.26477517825569,0,0
"YDR077W",-3.34206161604347,11.4837218480955,0,0
"YMR120C",-3.27622690641325,8.25049470466165,0,0
"YDR033W",-3.17379582169385,8.30125057098844,0,0
"YIL169C",-2.95817580009191,7.46313064540272,0,0
"YDR342C",-2.95460450917248,11.0703823501844,0,0
"YFR015C",-2.8364803956249,9.24276111979099,0,0
"YLR058C",-2.65934357564728,8.9381121764256,0,0
"YCL030C",-2.40365821344492,8.76850080783026,0,0
"YPR160W",-2.25385784025726,8.23426294203843,0,0
"YBR067C",-2.2486196637247,8.22863122562962,0,0
"YOR153W",-2.08204118119255,9.27972401359158,0,0
"YHR092C",-2.01343709997599,9.84482815767903,0,0
"YDR365W-B",-1.99846727080439,10.0312066256057,0,0
"YER067W",-1.98170059460642,8.73581957269616,0,0
"YLR258W",-1.96433734646296,8.72005680765008,0,0
"YFR053C",-1.49760747323282,10.205581256552,0,0
"YLL026W",-1.42638967477648,9.6267207378972,0,0
"R0010W",1.14322779707886,10.2299271699374,0,0
"R0020C",1.1216873181788,10.1686551326942,0,0
"YAL005C",-1.10863185705803,10.4357679164989,0,0
"YHR174W",-1.07650108855806,13.9806149349517,0,0
"YJL052W",-1.04572972015114,10.4206894009385,0,0
"YPL061W",-1.04053648679267,10.7209471111989,0,0
"YAL038W",-1.0023269175136,13.2423113836647,0,0
"YOR383C",0.743879230678995,11.4148191188377,0,0
"YDL229W",-0.691401855131708,11.335835619455,0,0
"YGR192C",-0.646272665106763,14.7485204592693,0,0
"YOL086C",-0.582006027114725,14.26228680284,0,0
"YJL159W",-0.555609850513876,12.1270532983651,0,0
"YLR044C",-0.543850627243841,13.638223657754,0,0
"R0040C",1.24758805645696,10.0086794843569,2.84531616078643e-310,4.67659325649259e-308
"YOL109W",-2.23905561276646,7.86012848346472,1.73330079251888e-306,2.77187588900925e-304
"YKR080W",-3.22681578975551,7.58521812448676,6.55795286502943e-306,1.02114229216787e-303
"YKR075C",1.32011186306464,9.42549172921633,4.32685673466984e-299,6.5646182818055e-297
"YLR154W-C",-0.931436019310298,10.1637733849171,9.27129003586177e-299,1.37145557855485e-296
"YEL071W",1.56089088968999,8.96421023519469,7.79091314198255e-292,1.12436178197831e-289
"YGL008C",-0.634186793345841,11.2768875686561,3.18223248177706e-288,4.48315942730354e-286
"YOR374W",0.865100700749683,10.4994607601979,3.58123387195032e-287,4.92794437682094e-285
"YLR327C",-1.94119164715257,8.18313251561787,2.38543343628497e-280,3.20786582784049e-278
"YOL155C",-2.03955332245636,8.0118281836375,1.28451220353763e-278,1.68899082407381e-276
"YGL234W",-1.38846451652532,8.84014340971265,9.89077192446034e-270,1.27225429297895e-267
"YOR128C",-1.95508459871099,7.98307756526062,1.89104873710524e-264,2.38070965477695e-262
"YAR009C",-2.82711024786311,8.8975761356729,5.4163112753342e-261,6.67673204503177e-259
"YCL025C",-2.06650175328214,7.77766296483101,2.34446324585365e-255,2.83105898484001e-253
"YEL040W",-1.37656421278645,8.76494905632923,4.4838010664738e-253,5.3061301820651e-251
"YCR005C",2.43213214285136,8.00211362065928,4.12641854201209e-248,4.78745461040892e-246
"YBR010W",1.33668214267581,9.12587386017499,5.56335651003949e-248,6.33045778267378e-246
"YPR036W-A",1.38064666186798,9.03576322572587,1.76927560330661e-247,1.97524598957834e-245
"YDR345C",-0.513665940033413,11.6415808526119,6.10208711061741e-239,6.68630545065245e-237
"YPR145W",-1.2931030044935,9.3220359774522,1.85334148106439e-234,1.99385846244691e-232
"YPR149W",-1.76685587214784,8.02482735546712,6.17009344462129e-232,6.51936480568289e-230
"YAL061W",-2.2468718868457,7.42581085319511,4.41257868874799e-227,4.58056633356524e-225
"R0030W",1.21732275536646,9.26133483075348,1.36672380793024e-226,1.3942939261247e-224
"YIL053W",0.610109875587637,11.2187966358487,3.75315361389739e-226,3.76396778532727e-224
"YMR008C",-2.00048495369692,7.9431301280457,1.96889438373189e-223,1.9416580114236e-221
"YKL152C",-0.326317355989313,12.9452760851851,1.47021611809741e-221,1.42610963455449e-219
"YBL003C",1.27329769457725,9.05616686770722,3.33391759843201e-217,3.18174039192293e-215
"YMR173W",-1.37482519671225,8.83974704168844,4.95772433340738e-209,4.65632617155103e-207
"YOR290C",-9.31538799282377,5.86950836988009,1.50624438006261e-206,1.39256999950476e-204
"YBR118W",-0.322563556867204,13.8014065640436,2.62066746406542e-206,2.38561375151924e-204
"YDL022W",-1.20318246596116,8.76970610934943,6.13034500343417e-196,5.49594717959394e-194
"YOL158C",-1.82729459180013,7.65088617323276,5.12078492286038e-183,4.52234095351714e-181
"YAR015W",-1.63749069730052,7.84111052716085,2.76553072538426e-180,2.40641842677921e-178
"YDR524W-C",2.11888915057922,7.88648602584758,4.42277531815218e-180,3.79269008079804e-178
"YOL016C",-1.27242032978123,8.54793321512077,1.54580774759937e-174,1.30664920607792e-172
"YMR105C",-1.18052988729614,8.92464607113514,2.22625610751886e-173,1.85531794199846e-171
"YBR196C",-0.603522864011941,11.0058646746833,1.21546075719268e-172,9.98872402820705e-171
"YCL040W",-0.459643342258316,11.4278322263188,5.86676372178098e-167,4.75529327969562e-165
"YDR019C",-2.81742447751596,6.38246903268675,9.85723113621266e-167,7.88178873418518e-165
"YER056C",-1.49291341964053,8.04660009902687,2.80347393908726e-165,2.21175403967724e-163
"YNL031C",1.08951150297054,9.69756351342357,1.54081755011671e-164,1.19960755842639e-162
"YBR011C",0.701576178357774,10.2566396966866,3.39940689991547e-163,2.61224553594803e-161
"YLR350W",1.11263514026169,8.97502286817904,8.5338716803974e-160,6.47370752986044e-158
"YLR355C",-0.77169143740187,9.76868476204223,2.07605295940186e-157,1.55493738744061e-155
"YJR104C",-0.656969806852575,10.8036296005707,9.35310059065616e-157,6.91778702436406e-155
"YMR011W",-0.398580638162267,11.7609899942428,9.82023681074974e-157,7.17362237150694e-155
"YLR413W",-1.70421685845963,7.68688955739378,1.82358081847825e-154,1.31586923206534e-152
"YPR035W",-0.509887071557225,11.1480974799521,2.25060813477223e-154,1.60443955824666e-152
"YBR296C",-3.34506846824688,6.55101505835113,4.95385405119841e-154,3.48951838344535e-152
"YNL160W",-2.30180928816639,6.95313237471716,1.08577967849727e-150,7.55830395019806e-149
"YGR061C",-1.07042540827485,8.89086041056145,1.23945932575531e-149,8.52776840755135e-148
"YNL208W",-0.647954958648323,10.1528868739833,4.84466208180235e-143,3.29492707333615e-141
"YBR092C",-2.34782831135954,6.64384437674765,4.69642980822828e-142,3.15781536082804e-140
"YDR055W",-1.69012594020695,7.36424358857032,1.00404092504703e-137,6.67517994775649e-136
"YLL050C",0.984634055030667,9.08528164129885,1.14263852670244e-137,7.51221351388703e-136
"YKL056C",-0.490208881058949,10.9089086357635,1.19249997892918e-134,7.75387074211424e-133
"YPL019C",-1.67130848946991,7.48386887637117,1.97665126999029e-134,1.27128756136223e-132
"YDL039C",-2.27647859916598,6.52891702979944,9.55738661216473e-132,6.08075877249234e-130
"YLL024C",-0.611877184732381,10.7855004308894,1.94869833145627e-124,1.22664340715178e-122
"YHR136C",-4.12651095040921,5.26150402230164,5.08097402160031e-124,3.16464455640095e-122
"YLR180W",-0.929100117209066,8.93780980946423,2.73602820418982e-123,1.68636238376991e-121
"YHR183W",-0.677142546010727,9.81196951373586,4.91099254540902e-121,2.9957054526995e-119
"YLR359W",-1.14375588837647,8.76037583617649,2.88671584175709e-118,1.74292833017109e-116
"YLR194C",-1.04209674497635,8.72850631570507,1.15238731413194e-114,6.88755125022091e-113
"YJL158C",-0.683640697269876,9.65539632413899,1.70645174203821e-114,1.00970749576401e-112
"YMR300C",-1.77838634750571,7.1631920964497,2.05443549133204e-114,1.20357374279324e-112
"YGR189C",0.707520470227953,9.73202252108923,3.41367503216127e-113,1.9802661926763e-111
"YIL121W",-2.57351503012482,6.31300985958811,3.70482226754614e-113,2.12829450068646e-111
"YHL021C",-1.38016511255591,7.87011580023383,9.72875927146293e-112,5.53510275088905e-110
"YGR161C",1.04067939771893,8.66389222528028,2.97576510826333e-110,1.67691449005658e-108
"YLR300W",-0.893376217298917,8.91875810533914,3.68420517372618e-109,2.05655113329602e-107
"YBL002W",1.21248034118431,8.21969631926532,4.99922580712113e-108,2.76452514960147e-106
"YDL182W",-1.31662123687264,8.12904736097948,1.85240881264814e-105,1.01487990226287e-103
"YJR148W",-1.27484060619942,7.70882624092443,6.79525808526993e-103,3.68876532940754e-101
